stationID,hour_timestamp,total_kWh,hour,dayofweek,month,day,weekofyear,hour_sin,hour_cos,dow_sin,dow_cos,station_encoded,lag_1,rolling_3h,rolling_24h
2-39-123-23,2019-01-24 15:00:00,4.561,15,3,1,24,4,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0,0.951,3.9016666666666637,12.572958333333334
2-39-123-23,2019-01-25 15:00:00,6.373,15,4,1,25,4,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0,4.561,3.9616666666666642,11.185833333333335
2-39-123-23,2019-01-28 13:00:00,41.017,13,0,1,28,5,-0.2588190451025208,-0.9659258262890683,0.0,1.0,0,6.373,17.316999999999997,12.722875
2-39-123-23,2019-01-29 15:00:00,4.624,15,1,1,29,5,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0,41.017,17.337999999999997,11.488125000000002
2-39-123-23,2019-01-30 17:00:00,4.234,17,2,1,30,5,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0,4.624,16.624999999999996,11.502041666666669
2-39-123-23,2019-01-31 03:00:00,11.824,3,3,1,31,5,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,0,4.234,6.8939999999999975,11.826208333333334
2-39-123-23,2019-01-31 15:00:00,3.401,15,3,1,31,5,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0,11.824,6.486333333333331,11.763125000000002
2-39-123-23,2019-02-01 01:00:00,1.055,1,4,2,1,5,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0,3.401,5.426666666666663,11.623375000000001
2-39-123-23,2019-02-01 14:00:00,41.017,14,4,2,1,5,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,1.055,15.157666666666666,13.229875000000002
2-39-123-23,2019-02-03 20:00:00,14.162,20,6,2,3,5,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,41.017,18.744666666666664,12.949416666666666
2-39-123-23,2019-02-11 20:00:00,4.8,20,0,2,11,7,-0.8660254037844386,0.5000000000000001,0.0,1.0,0,14.162,19.993,12.579708333333334
2-39-123-23,2019-02-12 01:00:00,12.931,1,1,2,12,7,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0,4.8,10.630999999999995,12.927583333333333
2-39-123-23,2019-02-12 18:00:00,13.413,18,1,2,12,7,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,12.931,10.381333333333329,11.777416666666667
2-39-123-23,2019-02-13 03:00:00,12.717,3,2,2,13,7,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0,13.413,13.020333333333328,12.122583333333333
2-39-123-23,2019-02-13 16:00:00,13.633,16,2,2,13,7,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,12.717,13.254333333333328,11.555375
2-39-123-23,2019-02-15 00:00:00,0.912,0,4,2,15,7,0.0,1.0,-0.433883739117558,-0.9009688679024191,0,13.633,9.087333333333328,11.338375000000001
2-39-123-23,2019-02-15 15:00:00,3.513,15,4,2,15,7,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0,0.912,6.0193333333333285,10.839083333333333
2-39-123-23,2019-02-19 18:00:00,2.077,18,1,2,19,8,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,3.513,2.1673333333333287,9.216583333333332
2-39-123-23,2019-02-20 18:00:00,14.001,18,2,2,20,8,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0,2.077,6.530333333333329,9.499208333333334
2-39-123-23,2019-02-20 23:00:00,2.329,23,2,2,20,8,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0,14.001,6.135666666666662,9.496125000000001
